,M,F,overall,agedays
143,2.23786229428827e-05,1.76172526650432e-05,1.9997937803963e-05,143
144,2.23270058749004e-05,1.75768877205574e-05,1.99519467977289e-05,144
145,2.22753888069182e-05,1.75365227760716e-05,1.99059557914949e-05,145
146,2.22237717389359e-05,1.74961578315858e-05,1.98599647852608e-05,146
147,2.21721546709536e-05,1.74557928871e-05,1.98139737790268e-05,147
148,2.21205376029713e-05,1.74154279426142e-05,1.97679827727928e-05,148
149,2.2068920534989e-05,1.73750629981285e-05,1.97219917665587e-05,149
150,2.20173034670067e-05,1.73346980536427e-05,1.96760007603247e-05,150
151,2.19656863990244e-05,1.72943331091569e-05,1.96300097540907e-05,151
152,2.19140693310421e-05,1.72539681646711e-05,1.95840187478566e-05,152
153,2.18624522630598e-05,1.72136032201853e-05,1.95380277416226e-05,153
154,2.18108351950775e-05,1.71732382756995e-05,1.94920367353885e-05,154
155,2.17592181270953e-05,1.71328733312137e-05,1.94460457291545e-05,155
156,2.1707601059113e-05,1.7092508386728e-05,1.94000547229205e-05,156
157,2.16559839911307e-05,1.70521434422422e-05,1.93540637166864e-05,157
158,2.16043669231484e-05,1.70117784977564e-05,1.93080727104524e-05,158
159,2.15527498551661e-05,1.69714135532706e-05,1.92620817042184e-05,159
160,2.15011327871838e-05,1.69310486087848e-05,1.92160906979843e-05,160
161,2.14495157192015e-05,1.6890683664299e-05,1.91700996917503e-05,161
162,2.13978986512192e-05,1.68503187198132e-05,1.91241086855162e-05,162
163,2.13462815832369e-05,1.68099537753275e-05,1.90781176792822e-05,163
164,2.12946645152547e-05,1.67695888308417e-05,1.90321266730482e-05,164
165,2.12430474472724e-05,1.67292238863559e-05,1.89861356668141e-05,165
166,2.11914303792901e-05,1.66888589418701e-05,1.89401446605801e-05,166
167,2.11398133113078e-05,1.66484939973843e-05,1.88941536543461e-05,167
168,2.10881962433255e-05,1.66081290528985e-05,1.8848162648112e-05,168
169,2.10365791753432e-05,1.65677641084128e-05,1.8802171641878e-05,169
170,2.09849621073609e-05,1.6527399163927e-05,1.87561806356439e-05,170
171,2.09333450393786e-05,1.64870342194412e-05,1.87101896294099e-05,171
172,2.08817279713963e-05,1.64466692749554e-05,1.86641986231759e-05,172
173,2.0830110903414e-05,1.64063043304696e-05,1.86182076169418e-05,173
174,2.07784938354318e-05,1.63659393859838e-05,1.85722166107078e-05,174
175,2.07268767674495e-05,1.6325574441498e-05,1.85262256044738e-05,175
176,2.06752596994672e-05,1.62852094970123e-05,1.84802345982397e-05,176
177,2.06236426314849e-05,1.62448445525265e-05,1.84342435920057e-05,177
178,2.05720255635026e-05,1.62044796080407e-05,1.83882525857716e-05,178
179,2.05204084955203e-05,1.61641146635549e-05,1.83422615795376e-05,179
180,2.0468791427538e-05,1.61237497190691e-05,1.82962705733036e-05,180
181,2.04171743595557e-05,1.60833847745833e-05,1.82502795670695e-05,181
182,2.03655572915734e-05,1.60430198300976e-05,1.82042885608355e-05,182
183,2.03139402235911e-05,1.60026548856118e-05,1.81582975546015e-05,183
184,2.02623584855664e-05,1.59623175694247e-05,1.81123380274956e-05,184
185,2.02107767475417e-05,1.59219802532377e-05,1.80663785003897e-05,185
186,2.01591950095169e-05,1.58816429370507e-05,1.80204189732838e-05,186
187,2.01076132714922e-05,1.58413056208637e-05,1.79744594461779e-05,187
188,2.00560315334675e-05,1.58009683046766e-05,1.7928499919072e-05,188
189,2.00044497954427e-05,1.57606309884896e-05,1.78825403919662e-05,189
190,1.9952868057418e-05,1.57202936723026e-05,1.78365808648603e-05,190
191,1.99012863193932e-05,1.56799563561156e-05,1.77906213377544e-05,191
192,1.98497045813685e-05,1.56396190399285e-05,1.77446618106485e-05,192
193,1.97981228433438e-05,1.55992817237415e-05,1.76987022835426e-05,193
194,1.9746541105319e-05,1.55589444075545e-05,1.76527427564367e-05,194
195,1.96949593672943e-05,1.55186070913674e-05,1.76067832293309e-05,195
196,1.96433776292695e-05,1.54782697751804e-05,1.7560823702225e-05,196
197,1.95917958912448e-05,1.54379324589934e-05,1.75148641751191e-05,197
198,1.95402141532201e-05,1.53975951428064e-05,1.74689046480132e-05,198
199,1.94886324151953e-05,1.53572578266193e-05,1.74229451209073e-05,199
200,1.94370506771706e-05,1.53169205104323e-05,1.73769855938014e-05,200
201,1.93854689391459e-05,1.52765831942453e-05,1.73310260666956e-05,201
202,1.93338872011211e-05,1.52362458780583e-05,1.72850665395897e-05,202
203,1.92823054630964e-05,1.51959085618712e-05,1.72391070124838e-05,203
204,1.92307237250716e-05,1.51555712456842e-05,1.71931474853779e-05,204
205,1.91791419870469e-05,1.51152339294972e-05,1.7147187958272e-05,205
206,1.91275602490222e-05,1.50748966133102e-05,1.71012284311662e-05,206
207,1.90759785109974e-05,1.50345592971231e-05,1.70552689040603e-05,207
208,1.90243967729727e-05,1.49942219809361e-05,1.70093093769544e-05,208
209,1.89728150349479e-05,1.49538846647491e-05,1.69633498498485e-05,209
210,1.89212332969232e-05,1.4913547348562e-05,1.69173903227426e-05,210
211,1.88696515588985e-05,1.4873210032375e-05,1.68714307956367e-05,211
212,1.88180698208737e-05,1.4832872716188e-05,1.68254712685309e-05,212
213,1.8766488082849e-05,1.4792535400001e-05,1.6779511741425e-05,213
214,1.87149063448242e-05,1.47521980838139e-05,1.67335522143191e-05,214
215,1.86633246067995e-05,1.47118607676269e-05,1.66875926872132e-05,215
216,1.86117428687748e-05,1.46715234514399e-05,1.66416331601073e-05,216
217,1.856016113075e-05,1.46311861352529e-05,1.65956736330014e-05,217
218,1.85085793927253e-05,1.45908488190658e-05,1.65497141058956e-05,218
219,1.84569976547006e-05,1.45505115028788e-05,1.65037545787897e-05,219
220,1.84054159166758e-05,1.45101741866918e-05,1.64577950516838e-05,220
221,1.83538341786511e-05,1.44698368705047e-05,1.64118355245779e-05,221
222,1.83022524406263e-05,1.44294995543177e-05,1.6365875997472e-05,222
223,1.82506707026016e-05,1.43891622381307e-05,1.63199164703662e-05,223
224,1.81990889645769e-05,1.43488249219437e-05,1.62739569432603e-05,224
225,1.81475072265521e-05,1.43084876057566e-05,1.62279974161544e-05,225
226,1.80959254885274e-05,1.42681502895696e-05,1.61820378890485e-05,226
227,1.80443437505027e-05,1.42278129733826e-05,1.61360783619426e-05,227
228,1.79927620124779e-05,1.41874756571956e-05,1.60901188348367e-05,228
229,1.79411802744532e-05,1.41471383410085e-05,1.60441593077309e-05,229
230,1.78895985364284e-05,1.41068010248215e-05,1.5998199780625e-05,230
231,1.78380167984037e-05,1.40664637086345e-05,1.59522402535191e-05,231
232,1.7786435060379e-05,1.40261263924475e-05,1.59062807264132e-05,232
233,1.77348533223542e-05,1.39857890762604e-05,1.58603211993073e-05,233
234,1.76832715843295e-05,1.39454517600734e-05,1.58143616722014e-05,234
235,1.76316898463047e-05,1.39051144438864e-05,1.57684021450956e-05,235
236,1.758010810828e-05,1.38647771276993e-05,1.57224426179897e-05,236
237,1.75285263702553e-05,1.38244398115123e-05,1.56764830908838e-05,237
238,1.74769446322305e-05,1.37841024953253e-05,1.56305235637779e-05,238
239,1.74253628942058e-05,1.37437651791383e-05,1.5584564036672e-05,239
240,1.7373781156181e-05,1.37034278629512e-05,1.55386045095661e-05,240
241,1.73221994181563e-05,1.36630905467642e-05,1.54926449824603e-05,241
242,1.72706176801316e-05,1.36227532305772e-05,1.54466854553544e-05,242
243,1.72190359421068e-05,1.35824159143902e-05,1.54007259282485e-05,243
244,1.71674542040821e-05,1.35420785982031e-05,1.53547664011426e-05,244
245,1.71158724660574e-05,1.35017412820161e-05,1.53088068740367e-05,245
246,1.70642907280326e-05,1.34614039658291e-05,1.52628473469308e-05,246
247,1.70127089900079e-05,1.34210666496421e-05,1.5216887819825e-05,247
248,1.69611272519831e-05,1.3380729333455e-05,1.51709282927191e-05,248
249,1.69095455139584e-05,1.3340392017268e-05,1.51249687656132e-05,249
250,1.68579637759337e-05,1.3300054701081e-05,1.50790092385073e-05,250
251,1.68063820379089e-05,1.32597173848939e-05,1.50330497114014e-05,251
252,1.67548002998842e-05,1.32193800687069e-05,1.49870901842956e-05,252
253,1.67032185618594e-05,1.31790427525199e-05,1.49411306571897e-05,253
254,1.66516368238347e-05,1.31387054363329e-05,1.48951711300838e-05,254
255,1.660005508581e-05,1.30983681201458e-05,1.48492116029779e-05,255
256,1.65484733477852e-05,1.30580308039588e-05,1.4803252075872e-05,256
257,1.64968916097605e-05,1.30176934877718e-05,1.47572925487661e-05,257
258,1.64453098717358e-05,1.29773561715848e-05,1.47113330216603e-05,258
259,1.6393728133711e-05,1.29370188553977e-05,1.46653734945544e-05,259
260,1.63421463956863e-05,1.28966815392107e-05,1.46194139674485e-05,260
261,1.62905646576615e-05,1.28563442230237e-05,1.45734544403426e-05,261
262,1.62389829196368e-05,1.28160069068367e-05,1.45274949132367e-05,262
263,1.61874011816121e-05,1.27756695906496e-05,1.44815353861308e-05,263
264,1.61358194435873e-05,1.27353322744626e-05,1.4435575859025e-05,264
265,1.60842377055626e-05,1.26949949582756e-05,1.43896163319191e-05,265
266,1.60326559675378e-05,1.26546576420885e-05,1.43436568048132e-05,266
267,1.59810742295131e-05,1.26143203259015e-05,1.42976972777073e-05,267
268,1.59294924914884e-05,1.25739830097145e-05,1.42517377506014e-05,268
269,1.58779107534636e-05,1.25336456935275e-05,1.42057782234955e-05,269
270,1.58263290154389e-05,1.24933083773404e-05,1.41598186963897e-05,270
271,1.57747472774142e-05,1.24529710611534e-05,1.41138591692838e-05,271
272,1.57231655393894e-05,1.24126337449664e-05,1.40678996421779e-05,272
273,1.56715838013647e-05,1.23722964287794e-05,1.4021940115072e-05,273
274,1.56200020633399e-05,1.23319591125923e-05,1.39759805879661e-05,274
275,1.55684203253152e-05,1.22916217964053e-05,1.39300210608603e-05,275
276,1.55168385872905e-05,1.22512844802183e-05,1.38840615337544e-05,276
277,1.54652568492657e-05,1.22109471640313e-05,1.38381020066485e-05,277
278,1.5413675111241e-05,1.21706098478442e-05,1.37921424795426e-05,278
279,1.53620933732162e-05,1.21302725316572e-05,1.37461829524367e-05,279
280,1.53105116351915e-05,1.20899352154702e-05,1.37002234253308e-05,280
281,1.52589298971668e-05,1.20495978992831e-05,1.3654263898225e-05,281
282,1.5207348159142e-05,1.20092605830961e-05,1.36083043711191e-05,282
283,1.51557664211173e-05,1.19689232669091e-05,1.35623448440132e-05,283
284,1.51041846830925e-05,1.19285859507221e-05,1.35163853169073e-05,284
285,1.50526029450678e-05,1.1888248634535e-05,1.34704257898014e-05,285
286,1.50010212070431e-05,1.1847911318348e-05,1.34244662626955e-05,286
287,1.49494394690183e-05,1.1807574002161e-05,1.33785067355897e-05,287
288,1.48978577309936e-05,1.1767236685974e-05,1.33325472084838e-05,288
289,1.48462759929689e-05,1.17268993697869e-05,1.32865876813779e-05,289
290,1.47946942549441e-05,1.16865620535999e-05,1.3240628154272e-05,290
291,1.47431125169194e-05,1.16462247374129e-05,1.31946686271661e-05,291
292,1.46915307788946e-05,1.16058874212259e-05,1.31487091000602e-05,292
293,1.46399490408699e-05,1.15655501050388e-05,1.31027495729544e-05,293
294,1.45883673028452e-05,1.15252127888518e-05,1.30567900458485e-05,294
295,1.45367855648204e-05,1.14848754726648e-05,1.30108305187426e-05,295
296,1.44852038267957e-05,1.14445381564777e-05,1.29648709916367e-05,296
297,1.44336220887709e-05,1.14042008402907e-05,1.29189114645308e-05,297
298,1.43820403507462e-05,1.13638635241037e-05,1.2872951937425e-05,298
299,1.43304586127215e-05,1.13235262079167e-05,1.28269924103191e-05,299
300,1.42788768746967e-05,1.12831888917296e-05,1.27810328832132e-05,300
301,1.4227295136672e-05,1.12428515755426e-05,1.27350733561073e-05,301
302,1.41757133986473e-05,1.12025142593556e-05,1.26891138290014e-05,302
303,1.41241316606225e-05,1.11621769431686e-05,1.26431543018955e-05,303
304,1.40725499225978e-05,1.11218396269815e-05,1.25971947747897e-05,304
305,1.4020968184573e-05,1.10815023107945e-05,1.25512352476838e-05,305
306,1.39693864465483e-05,1.10411649946075e-05,1.25052757205779e-05,306
307,1.39178047085236e-05,1.10008276784204e-05,1.2459316193472e-05,307
308,1.38662229704988e-05,1.09604903622334e-05,1.24133566663661e-05,308
309,1.38146412324741e-05,1.09201530460464e-05,1.23673971392602e-05,309
310,1.37630594944493e-05,1.08798157298594e-05,1.23214376121544e-05,310
311,1.37114777564246e-05,1.08394784136723e-05,1.22754780850485e-05,311
312,1.36598960183999e-05,1.07991410974853e-05,1.22295185579426e-05,312
313,1.36083142803751e-05,1.07588037812983e-05,1.21835590308367e-05,313
314,1.35567325423504e-05,1.07184664651113e-05,1.21375995037308e-05,314
315,1.35051508043257e-05,1.06781291489242e-05,1.20916399766249e-05,315
316,1.34535690663009e-05,1.06377918327372e-05,1.20456804495191e-05,316
317,1.34019873282762e-05,1.05974545165502e-05,1.19997209224132e-05,317
318,1.33504055902514e-05,1.05571172003632e-05,1.19537613953073e-05,318
319,1.32988238522267e-05,1.05167798841761e-05,1.19078018682014e-05,319
320,1.3247242114202e-05,1.04764425679891e-05,1.18618423410955e-05,320
321,1.31956603761772e-05,1.04361052518021e-05,1.18158828139897e-05,321
322,1.31440786381525e-05,1.0395767935615e-05,1.17699232868838e-05,322
323,1.30924969001277e-05,1.0355430619428e-05,1.17239637597779e-05,323
324,1.3040915162103e-05,1.0315093303241e-05,1.1678004232672e-05,324
325,1.29893334240783e-05,1.0274755987054e-05,1.16320447055661e-05,325
326,1.29377516860535e-05,1.02344186708669e-05,1.15860851784602e-05,326
327,1.28861699480288e-05,1.01940813546799e-05,1.15401256513544e-05,327
328,1.28345882100041e-05,1.01537440384929e-05,1.14941661242485e-05,328
329,1.27830064719793e-05,1.01134067223059e-05,1.14482065971426e-05,329
330,1.27314247339546e-05,1.00730694061188e-05,1.14022470700367e-05,330
331,1.26798429959298e-05,1.00327320899318e-05,1.13562875429308e-05,331
332,1.26282612579051e-05,9.99239477374478e-06,1.13103280158249e-05,332
333,1.25766795198804e-05,9.95205745755776e-06,1.12643684887191e-05,333
334,1.25250977818556e-05,9.91172014137073e-06,1.12184089616132e-05,334
335,1.24735160438309e-05,9.8713828251837e-06,1.11724494345073e-05,335
336,1.24219343058061e-05,9.83104550899668e-06,1.11264899074014e-05,336
337,1.23703525677814e-05,9.79070819280965e-06,1.10805303802955e-05,337
338,1.23187708297567e-05,9.75037087662262e-06,1.10345708531896e-05,338
339,1.22671890917319e-05,9.7100335604356e-06,1.09886113260838e-05,339
340,1.22156073537072e-05,9.66969624424857e-06,1.09426517989779e-05,340
341,1.21640256156825e-05,9.62935892806154e-06,1.0896692271872e-05,341
342,1.21124438776577e-05,9.58902161187451e-06,1.08507327447661e-05,342
343,1.2060862139633e-05,9.54868429568749e-06,1.08047732176602e-05,343
344,1.20092804016082e-05,9.50834697950046e-06,1.07588136905543e-05,344
345,1.19576986635835e-05,9.46800966331344e-06,1.07128541634485e-05,345
346,1.19061169255588e-05,9.42767234712641e-06,1.06668946363426e-05,346
347,1.1854535187534e-05,9.38733503093938e-06,1.06209351092367e-05,347
348,1.18029534495093e-05,9.34699771475235e-06,1.05749755821308e-05,348
349,1.17513717114845e-05,9.30666039856533e-06,1.05290160550249e-05,349
350,1.16997899734598e-05,9.2663230823783e-06,1.04830565279191e-05,350
351,1.16482082354351e-05,9.22598576619127e-06,1.04370970008132e-05,351
352,1.15966264974103e-05,9.18564845000425e-06,1.03911374737073e-05,352
353,1.15450447593856e-05,9.14531113381722e-06,1.03451779466014e-05,353
354,1.14934630213608e-05,9.1049738176302e-06,1.02992184194955e-05,354
355,1.14418812833361e-05,9.06463650144317e-06,1.02532588923896e-05,355
356,1.13902995453114e-05,9.02429918525614e-06,1.02072993652838e-05,356
357,1.13387178072866e-05,8.98396186906911e-06,1.01613398381779e-05,357
358,1.12871360692619e-05,8.94362455288209e-06,1.0115380311072e-05,358
359,1.12355543312372e-05,8.90328723669506e-06,1.00694207839661e-05,359
360,1.11839725932124e-05,8.86294992050803e-06,1.00234612568602e-05,360
361,1.11323908551877e-05,8.82261260432101e-06,9.97750172975434e-06,361
362,1.10808091171629e-05,8.78227528813398e-06,9.93154220264846e-06,362
363,1.10292273791382e-05,8.74193797194695e-06,9.88558267554258e-06,363
364,1.09776456411135e-05,8.70160065575993e-06,9.8396231484367e-06,364
365,1.09260639030887e-05,8.6612633395729e-06,9.79366362133081e-06,365
366,1.0874482165064e-05,8.62092602338587e-06,9.74770409422493e-06,366
367,1.08229004270392e-05,8.58058870719885e-06,9.70174456711905e-06,367
368,1.07713186890145e-05,8.54025139101182e-06,9.65578504001316e-06,368
369,1.07197369509898e-05,8.49991407482479e-06,9.60982551290728e-06,369
370,1.0668155212965e-05,8.45957675863777e-06,9.5638659858014e-06,370
371,1.06165734749403e-05,8.41923944245074e-06,9.51790645869552e-06,371
372,1.05649917369156e-05,8.37890212626371e-06,9.47194693158963e-06,372
373,1.05134099988908e-05,8.33856481007669e-06,9.42598740448375e-06,373
374,1.04618282608661e-05,8.29822749388966e-06,9.38002787737787e-06,374
375,1.04102465228413e-05,8.25789017770263e-06,9.33406835027199e-06,375
376,1.03586647848166e-05,8.21755286151561e-06,9.2881088231661e-06,376
377,1.03070830467919e-05,8.17721554532858e-06,9.24214929606022e-06,377
